"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"Mean_Score",0.826470588235294,"Mean_Score"
"2",2,"Mean_Score",0.789373814041746,"Mean_Score"
"3",3,"Mean_Score",0.8,"Mean_Score"
"4",4,"Mean_Score",0.789373814041746,"Mean_Score"
"5",5,"Mean_Score",0.816666666666667,"Mean_Score"
"6",6,"Mean_Score",0.807843137254902,"Mean_Score"
"7",7,"Mean_Score",0.845161290322581,"Mean_Score"
"8",8,"Mean_Score",0.83778801843318,"Mean_Score"
"9",9,"Mean_Score",0.815939278937381,"Mean_Score"
"10",10,"Mean_Score",0.804554079696395,"Mean_Score"
