"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_SS_Mean_Score",0.852941176470588,"RSA_SS_Mean_Score"
"2",2,"RSA_SS_Mean_Score",0.824509803921569,"RSA_SS_Mean_Score"
"3",3,"RSA_SS_Mean_Score",0.862672811059908,"RSA_SS_Mean_Score"
"4",4,"RSA_SS_Mean_Score",0.83965844402277,"RSA_SS_Mean_Score"
"5",5,"RSA_SS_Mean_Score",0.832068311195446,"RSA_SS_Mean_Score"
"6",6,"RSA_SS_Mean_Score",0.866223908918406,"RSA_SS_Mean_Score"
"7",7,"RSA_SS_Mean_Score",0.841176470588235,"RSA_SS_Mean_Score"
"8",8,"RSA_SS_Mean_Score",0.863809523809524,"RSA_SS_Mean_Score"
"9",9,"RSA_SS_Mean_Score",0.843453510436433,"RSA_SS_Mean_Score"
"10",10,"RSA_SS_Mean_Score",0.874762808349146,"RSA_SS_Mean_Score"
