"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"SS_Mean_Score",0.855882352941177,"SS_Mean_Score"
"2",2,"SS_Mean_Score",0.824884792626728,"SS_Mean_Score"
"3",3,"SS_Mean_Score",0.830392156862745,"SS_Mean_Score"
"4",4,"SS_Mean_Score",0.864326375711575,"SS_Mean_Score"
"5",5,"SS_Mean_Score",0.827450980392157,"SS_Mean_Score"
"6",6,"SS_Mean_Score",0.828273244781784,"SS_Mean_Score"
"7",7,"SS_Mean_Score",0.843453510436433,"SS_Mean_Score"
"8",8,"SS_Mean_Score",0.874762808349146,"SS_Mean_Score"
"9",9,"SS_Mean_Score",0.836866359447005,"SS_Mean_Score"
"10",10,"SS_Mean_Score",0.836274509803922,"SS_Mean_Score"
